colour,lat,long,date,neighbourhood
#030202,49.274345,-123.118765,Wednesday_Feb_18_2015,Yaletown
#070607,49.273818,-123.124139,Wednesday_Feb_18_2015,Yaletown
#D3BFE3,49.260860,-123.116287,Wednesday_Feb_18_2015,Fairview
#070702,49.279839,-123.116882,Wednesday_Feb_18_2015,Yaletown
#685261,49.280237,-123.123904,Wednesday_Feb_18_2015,Yaletown
#030203,49.294900,-123.150161,Wednesday_Feb_18_2015,Stanley Park
#ADD3C5,49.224046,-123.078409,Wednesday_Feb_18_2015,Sunset
#0A100C,49.287894,-123.120479,Wednesday_Feb_18_2015,Robson Street
#F1E9F1,49.287990,-123.114850,Wednesday_Feb_18_2015,Gastown
#575A62,49.269400,-123.123800,Wednesday_Feb_18_2015,False Creek
#D8F5E9,49.280108,-123.132785,Wednesday_Feb_18_2015,West End
#E8F9F4,49.280796,-123.117943,Wednesday_Feb_18_2015,Yaletown
#010101,49.288128,-123.114868,Wednesday_Feb_18_2015,Gastown
#0F1511,49.290436,-123.141110,Wednesday_Feb_18_2015,West End
#C4D4CD,49.250000,-123.100000,Wednesday_Feb_18_2015,Main Street
#040306,49.264019,-123.105309,Wednesday_Feb_18_2015,Mount Pleasant
#060503,49.284391,-123.112503,Wednesday_Feb_18_2015,Gastown
#5F736A,49.289923,-123.126048,Wednesday_Feb_18_2015,Robson Street
#E7EBEB,49.280108,-123.132785,Wednesday_Feb_18_2015,West End
#020101,49.266588,-123.105946,Wednesday_Feb_18_2015,False Creek
#010201,49.294444,-123.111389,Wednesday_Feb_18_2015,Coal Harbor
#B48497,49.285063,-123.120397,Wednesday_Feb_18_2015,Robson Street
#130B10,49.284042,-123.107463,Wednesday_Feb_18_2015,Gastown
#6A0B15,49.263615,-123.147728,Wednesday_Feb_18_2015,Arbutus
#1F221F,49.258950,-123.125661,Wednesday_Feb_18_2015,Fairview
#F6EAF1,49.284782,-123.123183,Wednesday_Feb_18_2015,Robson Street
#BAA5B6,49.279444,-123.109444,Wednesday_Feb_18_2015,Gastown
#272B19,49.288033,-123.114475,Wednesday_Feb_18_2015,Gastown
#030202,49.277713,-123.127375,Wednesday_Feb_18_2015,Yaletown
#000700,49.288128,-123.114868,Wednesday_Feb_18_2015,Gastown
#100806,49.279551,-123.103416,Wednesday_Feb_18_2015,Chinatown
#F1E5E8,49.271034,-123.133629,Wednesday_Feb_18_2015,Granville Island
#D8E6DB,49.282324,-123.104399,Wednesday_Feb_18_2015,Gastown
#885F7A,49.266750,-123.113350,Wednesday_Feb_18_2015,False Creek
#020301,49.270556,-123.133333,Wednesday_Feb_18_2015,Granville Island
#EFE4EB,49.241522,-123.101604,Wednesday_Feb_18_2015,Riley Park
#040101,49.282834,-123.120458,Wednesday_Feb_18_2015,Robson Street
#4E303D,49.283623,-123.103828,Wednesday_Feb_18_2015,Gastown
#040202,49.183741,-122.843543,Wednesday_Feb_18_2015,Surrey
#598A6F,49.250000,-123.100000,Wednesday_Feb_18_2015,Main Street
#1A1F1B,49.278386,-123.116439,Wednesday_Feb_18_2015,Yaletown
#010101,49.282834,-123.120458,Wednesday_Feb_18_2015,Robson Street
#9F0E0F,49.264061,-123.104498,Wednesday_Feb_18_2015,Main Street
#947B85,49.229672,-123.114827,Wednesday_Feb_18_2015,Oakridge
#110A0E,49.269322,-123.151729,Wednesday_Feb_18_2015,Kitsilano
#060103,49.289935,-123.145554,Wednesday_Feb_18_2015,West End
#130507,49.282834,-123.120458,Wednesday_Feb_18_2015,Robson Street
#DCDADE,49.282126,-123.108160,Wednesday_Feb_18_2015,Gastown
#191319,49.270157,-123.133220,Wednesday_Feb_18_2015,Granville Island
#0E0202,49.282162,-123.107964,Wednesday_Feb_18_2015,Gastown
#030303,49.275771,-123.122244,Wednesday_Feb_18_2015,Yaletown
#ECD6E4,49.265896,-123.114395,Wednesday_Feb_18_2015,Mount Pleasant
#0C0404,49.272625,-123.135620,Wednesday_Feb_18_2015,Granville Island
#C8678A,49.249550,-123.089684,Wednesday_Feb_18_2015,Kensington-Cedar Cottage
#C3B8DD,49.250000,-123.100000,Wednesday_Feb_18_2015,Main Street
#F6F8F7,49.300000,-123.140000,Wednesday_Feb_18_2015,Stanley Park
#040A05,49.225820,-123.116478,Wednesday_Feb_18_2015,Oakridge
#030202,49.273640,-123.118431,Wednesday_Feb_18_2015,Yaletown
#644651,49.276482,-123.120544,Wednesday_Feb_18_2015,Yaletown
#666068,49.269795,-123.069504,Wednesday_Feb_18_2015,Commercial
#120206,49.282834,-123.120458,Wednesday_Feb_18_2015,Robson Street
#050506,49.272551,-123.133049,Wednesday_Feb_18_2015,Granville Island
#2DB256,49.282081,-123.134518,Wednesday_Feb_18_2015,West End
#9B7483,49.259357,-123.101038,Wednesday_Feb_18_2015,Main Street
#0B0E0B,49.286675,-123.143220,Wednesday_Feb_18_2015,West End
#D1A7C3,49.269421,-123.139839,Wednesday_Feb_18_2015,Granville Island
#835A84,49.287248,-123.113057,Wednesday_Feb_18_2015,Gastown
#F1DDE6,49.289710,-123.137216,Wednesday_Feb_18_2015,Coal Harbor
#CB91AC,49.280841,-123.120544,Wednesday_Feb_18_2015,Yaletown
#EFD6E1,49.276295,-123.121407,Wednesday_Feb_18_2015,Yaletown
#000101,49.277519,-123.114540,Wednesday_Feb_18_2015,Yaletown
#1B0308,49.283909,-123.118500,Wednesday_Feb_18_2015,Chinatown
#5D484E,49.283718,-123.121109,Wednesday_Feb_18_2015,Robson Street
#10070A,49.283214,-123.103059,Wednesday_Feb_18_2015,Gastown
#070705,49.283314,-123.104401,Wednesday_Feb_18_2015,Gastown
#070B00,49.269604,-123.131240,Wednesday_Feb_18_2015,Granville Island
#050304,49.278800,-123.127496,Wednesday_Feb_18_2015,Yaletown
#010101,49.271751,-123.106186,Wednesday_Feb_18_2015,False Creek
#18050C,49.280960,-123.077370,Wednesday_Feb_18_2015,Strathcona
#0E0D0E,49.274063,-123.154361,Wednesday_Feb_18_2015,Kitsilano
#020602,49.278386,-123.116439,Wednesday_Feb_18_2015,Yaletown
#060504,49.276524,-123.100084,Wednesday_Feb_18_2015,Strathcona
#0B0B13,49.272929,-123.155974,Wednesday_Feb_18_2015,Kitsilano
#D2F3E3,49.285106,-123.102149,Wednesday_Feb_18_2015,Gastown
#19472D,49.286675,-123.143220,Wednesday_Feb_18_2015,West End
#F9F8F9,49.284042,-123.107463,Wednesday_Feb_18_2015,Gastown
#DDDBDB,49.282091,-123.127554,Wednesday_Feb_18_2015,Robson Street
#ECE7E7,49.287358,-123.124947,Wednesday_Feb_18_2015,Robson Street
#0B180E,49.292283,-123.140660,Wednesday_Feb_18_2015,West End
#070802,49.264061,-123.104498,Wednesday_Feb_18_2015,Main Street
#CE1814,49.279776,-123.109901,Wednesday_Feb_18_2015,Gastown
#010501,49.284559,-123.124857,Wednesday_Feb_18_2015,Robson Street
#020301,49.284019,-123.112503,Wednesday_Feb_18_2015,Gastown
#656C5C,49.255460,-123.127550,Wednesday_Feb_18_2015,South Cambie
#EDE0EC,49.250142,-123.154071,Wednesday_Feb_18_2015,Arbutus-Ridge
#221B1F,49.299167,-123.133333,Wednesday_Feb_18_2015,Stanley Park
#0A0304,49.263232,-123.110453,Wednesday_Feb_18_2015,Mount Pleasant
#C1739F,49.288559,-123.120972,Wednesday_Feb_18_2015,Robson Street
#181818,49.250000,-123.100000,Wednesday_Feb_18_2015,Main Street
#FCF8FA,49.282765,-123.109641,Wednesday_Feb_18_2015,Gastown
#D8E0CC,49.268687,-123.103064,Wednesday_Feb_18_2015,False Creek
#100706,49.288406,-123.139816,Wednesday_Feb_18_2015,West End
#181212,49.280841,-123.120544,Wednesday_Feb_18_2015,Yaletown
#7E8B76,49.300000,-123.140000,Wednesday_Feb_18_2015,Stanley Park
#FDFCFC,49.278830,-123.109730,Wednesday_Feb_18_2015,Chinatown
