colour,lat,long,date,neighbourhood
#81A898,49.273353,-123.103411,048_TueFeb17,False Creek
#CBB9C2,49.264019,-123.105309,048_TueFeb17,Mount Pleasant
#FCFBFB,49.293286,-123.139987,048_TueFeb17,West End
#517067,49.257740,-123.100830,048_TueFeb17,Main Street
#020403,49.279639,-123.122613,048_TueFeb17,Yaletown
#060504,49.279270,-123.129776,048_TueFeb17,Yaletown
#040403,49.284981,-123.110840,048_TueFeb17,Gastown
#F4F6F5,49.251722,-123.101091,048_TueFeb17,Main Street
#F3EEF1,49.271601,-123.069718,048_TueFeb17,Commercial
#EDEEED,49.293286,-123.139987,048_TueFeb17,West End
#0D0304,49.263870,-123.101349,048_TueFeb17,Main Street
#22191B,49.270942,-123.109478,048_TueFeb17,False Creek
#17D356,49.288128,-123.114868,048_TueFeb17,Gastown
#8E8488,49.287894,-123.120479,048_TueFeb17,Robson Street
#0A110D,49.304062,-123.156487,048_TueFeb17,Stanley Park
#090A08,49.269475,-123.140831,048_TueFeb17,Granville Island
#070707,49.288128,-123.114868,048_TueFeb17,Gastown
#010802,49.280796,-123.117943,048_TueFeb17,Yaletown
#EFEEEF,49.280704,-123.117167,048_TueFeb17,Yaletown
#9B062A,49.223901,-123.098044,048_TueFeb17,Sunset
#1C0610,49.284782,-123.123183,048_TueFeb17,Robson Street
#170209,49.282663,-123.124930,048_TueFeb17,Robson Street
#E9E4E6,49.289373,-123.122981,048_TueFeb17,Robson Street
#022307,49.273353,-123.103411,048_TueFeb17,False Creek
#CBCFCB,49.279934,-123.125610,048_TueFeb17,Yaletown
#F5F3F3,49.289588,-123.127209,048_TueFeb17,Robson Street
#0E070B,49.286944,-123.112500,048_TueFeb17,Gastown
#030203,49.280796,-123.117943,048_TueFeb17,Yaletown
#F7F6F5,49.280914,-123.122635,048_TueFeb17,Yaletown
#1D070B,49.280960,-123.077370,048_TueFeb17,Strathcona
#715F60,49.264224,-123.114300,048_TueFeb17,Mount Pleasant
#020101,49.277930,-123.127300,048_TueFeb17,Yaletown
#B08194,49.220556,-123.070278,048_TueFeb17,Vancouver
#040101,49.280796,-123.117943,048_TueFeb17,Yaletown
#1B201D,49.280490,-123.104187,048_TueFeb17,Chinatown
#020101,49.282749,-123.109100,048_TueFeb17,Gastown
#100B0D,49.276074,-123.119499,048_TueFeb17,Yaletown
#0B0608,49.286675,-123.143220,048_TueFeb17,West End
#030303,49.281950,-123.108620,048_TueFeb17,Gastown
#000000,49.256942,-123.105053,048_TueFeb17,Riley Park
#1B1E17,49.281195,-123.135387,048_TueFeb17,West End
#010302,49.284458,-123.107644,048_TueFeb17,Gastown
#030302,49.278038,-123.109234,048_TueFeb17,Chinatown
#030203,49.233700,-123.112747,048_TueFeb17,Oakridge
#030101,49.288349,-123.127899,048_TueFeb17,Robson Street
#010501,49.276236,-123.069383,048_TueFeb17,Commercial
#1B0F16,49.280212,-123.117270,048_TueFeb17,Yaletown
#130508,49.233700,-123.112747,048_TueFeb17,Oakridge
#025330,49.293286,-123.139987,048_TueFeb17,West End
#1B0307,49.283156,-123.109243,048_TueFeb17,Gastown
#D6E3D9,49.265896,-123.114395,048_TueFeb17,Mount Pleasant
#050605,49.253010,-123.101273,048_TueFeb17,Main Street
#0B0909,49.282765,-123.109641,048_TueFeb17,Gastown
#100B06,49.280491,-123.120567,048_TueFeb17,Yaletown
#B1A8BA,49.266472,-123.140701,048_TueFeb17,Fairview
#0A0505,49.224828,-123.107977,048_TueFeb17,Oakridge
#222121,49.286838,-123.099657,048_TueFeb17,Gastown
#030203,49.282834,-123.120458,048_TueFeb17,Robson Street
#FAFCFC,49.277778,-123.143333,048_TueFeb17,West End
#080502,49.277462,-123.115761,048_TueFeb17,Yaletown
#AD7698,49.264061,-123.104498,048_TueFeb17,Main Street
#020203,49.290722,-123.133995,048_TueFeb17,Robson Street
#6B807D,49.226987,-123.075875,048_TueFeb17,South Vancouver
#DFD4D6,49.276482,-123.120544,048_TueFeb17,Yaletown
#010101,49.261858,-123.127797,048_TueFeb17,Fairview
#070D09,49.260852,-123.113930,048_TueFeb17,Mount Pleasant
#F3E7ED,49.290722,-123.133995,048_TueFeb17,Robson Street
#080406,49.280796,-123.117943,048_TueFeb17,Yaletown
#D0E7DB,49.278038,-123.109234,048_TueFeb17,Chinatown
#61585B,49.285221,-123.095503,048_TueFeb17,Chinatown
#E2BDBF,49.281959,-123.106224,048_TueFeb17,Gastown
#11080D,49.266472,-123.140701,048_TueFeb17,Fairview
#F2F2F2,49.271655,-123.146905,048_TueFeb17,Kitsilano
#D8C9D0,49.259425,-123.077962,048_TueFeb17,Grandview-Woodland
#9D8A82,49.235737,-123.155747,048_TueFeb17,Arbutus-Ridge
#040001,49.258939,-123.100895,048_TueFeb17,Main Street
#040302,49.279519,-123.115608,048_TueFeb17,Yaletown
#F7E8EF,49.280404,-123.121227,048_TueFeb17,Yaletown
#D0B0CB,49.287022,-123.140892,048_TueFeb17,West End
#010101,49.273220,-123.101820,048_TueFeb17,False Creek
#51283C,49.229672,-123.114827,048_TueFeb17,Oakridge
#FAE9F5,49.298241,-123.119230,048_TueFeb17,Coal Harbor
#030302,49.283218,-123.122360,048_TueFeb17,Robson Street
#F8FCFC,49.269400,-123.123800,048_TueFeb17,False Creek
#181212,49.250000,-123.100000,048_TueFeb17,Main Street
#020202,49.287227,-123.116520,048_TueFeb17,Coal Harbor
#050204,49.257095,-123.090783,048_TueFeb17,Main Street
#724960,49.259603,-123.070535,048_TueFeb17,Kensington-Cedar Cottage
#AA709F,49.280404,-123.121227,048_TueFeb17,Yaletown
#E5DBE2,49.280841,-123.120544,048_TueFeb17,Yaletown
#24524C,49.282947,-123.115334,048_TueFeb17,Gastown
#CBCBCB,49.266667,-123.166667,048_TueFeb17,Kitsilano
#B28CA5,49.278553,-123.115768,048_TueFeb17,Yaletown
#BDBBB8,49.266575,-123.135323,048_TueFeb17,False Creek
#151317,49.269022,-123.155702,048_TueFeb17,Kitsilano
#040101,49.275635,-123.069641,048_TueFeb17,Commercial
#BAB8B7,49.266609,-123.135142,048_TueFeb17,False Creek
#070807,49.250000,-123.100000,048_TueFeb17,Main Street
#74848A,49.262740,-123.114880,048_TueFeb17,Mount Pleasant
#0B0205,49.280144,-123.109810,048_TueFeb17,Gastown
#78CEC9,49.284042,-123.107463,048_TueFeb17,Gastown
#AB6B8A,49.283327,-123.119291,048_TueFeb17,Chinatown
#B8AFB5,49.254456,-123.080432,048_TueFeb17,Kensington-Cedar Cottage
#060202,49.261948,-123.077006,048_TueFeb17,Grandview-Woodland
#040304,49.264390,-123.114840,048_TueFeb17,Mount Pleasant
#9D8BA1,49.269022,-123.155702,048_TueFeb17,Kitsilano
#040505,49.274550,-123.121900,048_TueFeb17,Yaletown
#534C52,49.276173,-123.079216,048_TueFeb17,Strathcona
#B26191,49.283327,-123.119291,048_TueFeb17,Chinatown
#CECCCA,49.278501,-123.093397,048_TueFeb17,Chinatown
#F1F0F1,49.282028,-123.125763,048_TueFeb17,Robson Street
#081309,49.276171,-123.144431,048_TueFeb17,West End
#1B0B0E,49.280914,-123.010361,048_TueFeb17,Burnaby Heights
#0C070B,49.269400,-123.123800,048_TueFeb17,False Creek
#A7B2B7,49.280330,-123.101658,048_TueFeb17,Chinatown
#604A52,49.273640,-123.118431,048_TueFeb17,Yaletown
#090607,49.283558,-123.114260,048_TueFeb17,Gastown
#FEF7FE,49.293286,-123.139987,048_TueFeb17,West End
#B09FA0,49.283051,-123.110077,048_TueFeb17,Gastown
#FCFAFD,49.250000,-123.100000,048_TueFeb17,Main Street
#050604,49.280529,-123.117470,048_TueFeb17,Yaletown
#150B09,49.278049,-123.099140,048_TueFeb17,Chinatown
#E5EFEC,49.253231,-123.100319,048_TueFeb17,Main Street
#030202,49.276809,-123.112154,048_TueFeb17,Chinatown
#E3EFE9,49.250000,-123.100000,048_TueFeb17,Main Street
#140308,49.270224,-123.107230,048_TueFeb17,False Creek
#030103,49.282028,-123.125763,048_TueFeb17,Robson Street
#970D0C,49.276337,-123.115747,048_TueFeb17,Yaletown
#0B0D10,49.264049,-123.115051,048_TueFeb17,Fairview
#7F666B,49.287500,-123.116944,048_TueFeb17,Coal Harbor
#531222,49.265980,-123.069321,048_TueFeb17,Commercial
#030302,49.283218,-123.122360,048_TueFeb17,Robson Street
#C8A3B4,49.259357,-123.101038,048_TueFeb17,Main Street
#010101,49.258755,-123.097941,048_TueFeb17,Main Street
#0E1A0F,49.280404,-123.121227,048_TueFeb17,Yaletown
#E0D4D8,49.270813,-123.147293,048_TueFeb17,Kitsilano
#060404,49.289923,-123.126048,048_TueFeb17,Robson Street
#010101,49.283218,-123.122360,048_TueFeb17,Robson Street
#24BF5C,49.277778,-123.143333,048_TueFeb17,West End
#1B1E1E,49.289145,-123.122092,048_TueFeb17,Robson Street
#885C79,49.273651,-123.101479,048_TueFeb17,False Creek
#060604,49.284679,-123.111893,048_TueFeb17,Gastown
#DADFDB,49.276478,-123.120492,048_TueFeb17,Yaletown
#140908,49.263592,-123.108719,048_TueFeb17,Mount Pleasant
#FEFDFE,49.279551,-123.103416,048_TueFeb17,Chinatown
#98849A,49.269845,-123.142392,048_TueFeb17,Fairview
#D6BCC7,49.280159,-123.122253,048_TueFeb17,Yaletown
#040303,49.279839,-123.116882,048_TueFeb17,Yaletown
#0B0B0A,49.268616,-123.118454,048_TueFeb17,False Creek
#030503,49.227881,-123.087770,048_TueFeb17,Sunset
#020101,49.285833,-123.111667,048_TueFeb17,Gastown
#5A8469,49.273353,-123.103411,048_TueFeb17,False Creek
#001D02,49.283035,-123.115830,048_TueFeb17,Gastown
#FEFDFE,49.283342,-123.142372,048_TueFeb17,West End
#B1C2B8,49.281772,-123.106025,048_TueFeb17,Gastown
#0D0205,49.264575,-123.089999,048_TueFeb17,Mount Pleasant
#171E19,49.275555,-123.123474,048_TueFeb17,Yaletown
#130C0B,49.282834,-123.120458,048_TueFeb17,Robson Street
#010101,49.250000,-123.100000,048_TueFeb17,Main Street
#050504,49.275638,-123.118456,048_TueFeb17,Yaletown
#7DA394,49.271393,-123.106682,048_TueFeb17,False Creek
#C7B3C0,49.263191,-123.138662,048_TueFeb17,Fairview
#F8F6F7,49.250000,-123.100000,048_TueFeb17,Main Street
#010201,49.288311,-123.116730,048_TueFeb17,Coal Harbor
#FCF6F9,49.279796,-123.121661,048_TueFeb17,Yaletown
#040403,49.224760,-123.107897,048_TueFeb17,Oakridge
#ECFAFA,49.250000,-123.100000,048_TueFeb17,Main Street
#F0E8EC,49.290722,-123.133995,048_TueFeb17,Robson Street
